,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,luis correia,BR,80.44,broken clouds,-2.8792,-41.6669,Hotel Amarração
315,honiara,SB,77.32,overcast clouds,-9.4333,159.95,Heritage Park Hotel
316,pingliang,CN,45.79,broken clouds,35.5392,106.6861,North Gate Hostel
317,faanui,PF,78.21,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
318,nome,US,33.87,mist,64.5011,-165.4064,Dredge 7 Inn
319,awbari,LY,75.99,clear sky,26.5921,12.7805,استراحة الشارب العائلي
320,cockburn town,TC,80.71,light rain,21.4612,-71.1419,Osprey Beach Hotel
321,gamba,GA,82.63,broken clouds,-2.65,10.0,
322,san jose,US,52.59,clear sky,37.3394,-121.895,The Westin San Jose
323,tuatapere,NZ,53.08,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
324,cap malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
325,dong hoi,VN,79.05,few clouds,17.4833,106.6,Nam Long Hotel
326,ribeira grande,PT,61.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
327,tual,ID,83.19,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
329,laguna,US,53.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
331,sao gabriel da cachoeira,BR,71.87,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
332,murgab,TM,55.27,light intensity shower rain,37.4966,61.9714,Wepa Nurlyýew
333,azare,NG,85.91,clear sky,11.6765,10.1948,Mallam Ayuba Compound
334,payakumbuh,ID,78.24,overcast clouds,-0.2202,100.6308,Dalimo Homestay
336,pacific grove,US,51.42,broken clouds,36.6177,-121.9166,Lovers Point Inn
337,bartica,GY,75.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
339,la orilla,MX,73.24,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
340,biak,ID,78.93,overcast clouds,-0.9131,122.8766,Penginapan Kim
341,namatanai,PG,80.46,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
343,logrono,ES,51.3,broken clouds,42.4667,-2.45,Hotel Gran Vía Logroño
344,shimoda,JP,58.15,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
345,abha,SA,73.22,few clouds,18.2164,42.5053,Abha Hotel
346,coihaique,CL,50.61,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
347,bafoulabe,ML,87.37,overcast clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
348,broome,US,31.35,overcast clouds,42.2506,-75.833,Chenango Valley State Park
349,nantucket,US,35.71,scattered clouds,41.2835,-70.0995,Jared Coffin House
350,bambous virieux,MU,80.85,few clouds,-20.3428,57.7575,Casa Tia Villa
351,moyale,KE,82.96,scattered clouds,3.5167,39.0584,La Tahzan Guest House
353,abnub,EG,71.82,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
354,teguise,ES,71.82,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
356,homestead,US,66.0,broken clouds,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
357,itaqui,BR,67.75,clear sky,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
359,prieska,ZA,87.3,scattered clouds,-29.6641,22.7474,Avenue GuestHouse
361,luz,BR,67.77,clear sky,-19.8014,-45.6856,Hotel Turista
363,yatou,CN,52.72,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
364,lufkin,US,33.06,clear sky,31.3382,-94.7291,Courtyard by Marriott Lufkin
365,nisia floresta,BR,79.61,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
366,traverse city,US,30.4,mist,44.7631,-85.6206,Bayshore Resort
367,richards bay,ZA,86.07,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
368,eydhafushi,MV,81.59,overcast clouds,5.1033,73.0708,Soneva Fushi
369,pisco,PE,60.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
371,guadalupe y calvo,MX,38.97,clear sky,26.1,-106.9667,Hotel Pizarro
373,san carlos de bariloche,AR,49.75,broken clouds,-41.1456,-71.3082,Hotel Patagonia
375,bereda,ES,50.41,light rain,43.2686,-7.5406,Pazo de Verdes
376,antalaha,MG,81.12,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
377,asau,RO,34.72,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
378,uarini,BR,71.11,overcast clouds,-2.99,-65.1083,
379,darnah,LY,77.72,clear sky,32.767,22.6367,فندق الفردوس
381,barahona,DO,75.2,light rain,18.2085,-71.1008,Hotel Caribe
382,peterhead,GB,48.6,overcast clouds,57.5058,-1.7981,Palace Hotel
385,knysna,ZA,67.71,overcast clouds,-34.0363,23.0471,Protea by Marriott Hotel Knysna Quays
386,tobermory,CA,30.78,light snow,45.2501,-81.6665,Escarpment Heights Motel
388,uige,AO,75.22,broken clouds,-7.6087,15.0613,Hotel Catraio
389,port lincoln,AU,68.34,few clouds,-34.7333,135.8667,Port Lincoln Hotel
390,cururupu,BR,78.89,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
391,waingapu,ID,81.73,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
393,beisfjord,NO,31.05,broken clouds,68.3751,17.5988,
394,ciudad valles,MX,59.04,overcast clouds,21.9833,-99.0167,Hotel Mision Ciudad Valles
395,lerwick,GB,46.4,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
396,valparaiso,CL,61.48,mist,-33.0393,-71.6273,Hotel Ultramar
397,penzance,GB,49.77,few clouds,50.1186,-5.5371,Artist Residence Penzance
398,sechura,PE,62.22,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
399,maracacume,BR,75.63,clear sky,-2.0428,-45.9592,Hotel Ramos
400,novyy starodub,UA,32.54,broken clouds,48.5158,33.1733,
401,port augusta,AU,74.08,clear sky,-32.5,137.7667,Majestic Oasis Apartments
402,roanne,FR,50.54,clear sky,46.0,4.0,Troisgros
403,kaitangata,NZ,53.01,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
404,sakaiminato,JP,57.18,few clouds,35.55,133.2333,Italian pasley
405,kijang,KR,62.33,clear sky,35.2442,129.2139,Samyang Beach Villa
406,alice,US,53.17,overcast clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
408,indramayu,ID,83.98,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
409,sorland,NO,44.46,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
