,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,severo-kurilsk,RU,33.28,overcast clouds,50.6789,156.125,Kak Doma
262,ocos,GT,76.82,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
263,bindura,ZW,87.98,clear sky,-17.3019,31.3306,Mayfair Lodges and Restaurant
265,san ramon,US,49.75,scattered clouds,37.7799,-121.978,San Ramon Marriott
267,kavieng,PG,81.72,broken clouds,-2.5744,150.7967,Nusa Island Retreat
268,ahuimanu,US,74.75,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
269,taoudenni,ML,80.02,clear sky,22.6783,-3.9836,
270,pangai,TO,78.22,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
272,bodden town,KY,79.93,overcast clouds,19.2833,-81.25,Will T Place
273,kontagora,NG,89.46,clear sky,10.3999,5.4695,Queens Guest Inn
274,port maria,JM,80.56,overcast clouds,18.3685,-76.8895,Galina Breeze Hotel
275,marsaxlokk,MT,75.07,few clouds,35.8419,14.5431,Water's Edge
276,kuching,MY,79.02,thunderstorm,1.55,110.3333,Hilton Kuching
277,zharkent,KZ,43.23,broken clouds,44.1628,80.0,гостиница Satti
278,natal,BR,79.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
280,salinopolis,BR,80.26,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
281,cabo san lucas,MX,72.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
282,marrakesh,MA,68.07,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
283,villa carlos paz,AR,73.38,clear sky,-31.4241,-64.4978,Monte Carlo vcp
284,san vicente,AR,62.24,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
285,pangoa,PE,66.38,overcast clouds,-12.1167,-73.0,
286,bac lieu,VN,80.35,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
288,torrington,US,31.68,clear sky,41.8007,-73.1212,Days Inn by Wyndham Torrington
289,isla mujeres,MX,77.16,light rain,21.2311,-86.731,Hotel La Joya Isla Mujeres
290,bonito,BR,67.28,clear sky,-21.1211,-56.4819,Marruá Hotel
291,villa guerrero,MX,64.27,overcast clouds,18.8667,-99.65,Ixtapan de la Sal Marriott Hotel & Spa
293,yarada,IN,84.52,haze,17.65,83.2667,Yarada Jungle Beach Resorts
295,buraydah,SA,73.85,overcast clouds,26.326,43.975,Mövenpick Qassim
296,nemuro,JP,40.35,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
297,ixtapa,MX,70.23,clear sky,20.7,-105.2,hotel la terminal
298,grand gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
299,half moon bay,US,51.91,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
300,esqueda,MX,46.06,overcast clouds,30.7167,-109.5833,Hotel Esqueda
303,bucerias,MX,70.99,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
304,port elizabeth,ZA,70.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
305,necochea,AR,59.63,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
306,fukue,JP,64.76,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
307,chapaevsk,RU,34.54,snow,52.9813,49.7112,Olimp
309,sao filipe,CV,80.69,overcast clouds,14.8961,-24.4956,Hotel Xaguate
310,uvinza,TZ,77.81,light rain,-5.1036,30.3911,Crown Lodge and lounge
311,itacare,BR,75.4,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
313,tadine,NC,75.58,overcast clouds,-21.55,167.8833,
